name_user,reason_ban,time_ban
0OOZ69K2,L22VLB26K8,340026340000
1QR5IIUZ1,DVEW8L8L,1085290186000
KFBUVYOHFA,UJ,111609375000
TWABC8C11A,TBJCD,1114850391000
N5XDDU,VWT3RV,1826640838000
YX168BZ2WK,IQ,625799721000
1KS2,OM4,298178997000
N6BW4GUOBR,8AT0PKJ,704848971000
G09AL,EQBWK9TT,1229044935000
4,B4ML7F,474365005000
VS,1VC1,1718822808000
4O,5QH07,1517693512000
8LWED,7YLH4CA0,314450485000
C,9EX,967289056000
HNNTQJSSU,YMLE,1882460017000
S,OW93K9A,1237054819000
K,M,370798931000
4WN6L,V4OG6HKBYQ,284979699000
XX,D27NOY,1213906506000
QMC,2JE,959841002000
4KUF6NH,FWCTQFJB1,391789487000
SZUW,T10K3K,1612293034000
2E7,QR,1423690230000
FT4V,VCW4J6,697933128000
4NTHVQFAJD,640,811979378000
OWHLS,ER,971412461000
S9KZ8,GYTQ36V7,1310500612000
PMCOUU,4OFOEAEW,585164177000
4V1NTZ,6TOX3HUQUU,1391759446000
O9ACODOS,K8,1323458811000
KFG8QS1P,KE,1522065798000
G,Z,627362561000
3V1,O7YHL2,657832687000
KC2JWS,1R,1247166729000
D9NK14M3,Y,1397500977000
E0ONI4ZK,K1F3S,340611068000
I,2UO,1284527247000
7V92RJL0F,OR70ANLGVQ,24940879000
0QDBHFKP,V,863135794000
9C11JRQ,W0VI5,762943653000
M8GF1SFWY,568IJ,433155775000
8A,7GIQWSY3,247346444000
XV7I6,S29K0RF8E,1399812531000
WXI,L,1331270293000
02M4P,CBWAIABFWG,634226167000
Y,806XN2Z,721801252000
K2,W,1601875466000
QB8,YWEJ876,495125282000
OKSW15U7JY,42M,952454275000
3B5HUM4RN,1PNKGPE1EF,1251653663000
IJAMYFEGK,J35N,634380841000
Z6MG,WXJESI0J4,724507266000
4L,PB9,133341078000
A45TSTPDVQ,AKM5,264399875000
ROT,948ICPWL,143545897000
3XSYSJBV,7,53978997000
M,U,1403090455000
IV6MT0Y,7FATUXHCM,1583660801000
4QXBLCTWKB,71GET48HN,1764853094000
74I9,NJDB03IBNQ,1661132797000
H2YRAD,YXWUBPM6W,486020538000
NLL7E9TW,81O797O5L,20716258000
WRB7,O5Y,54579908000
3S2E5QKT,W,1735953876000
Z7HCU,7ASSK95R5S,1212175843000
BKAJJR24QW,97R,55908930000
5,62327II,870222770000
LA7A1ENYWY,48EQ9JSX5,1048571825000
APCNE,YFY5IR6R,387523883000
PC0S0,F,607614440000
JDW0Y35K3,RBS0T9DT9V,222241996000
HZ,R53O1,543141983000
DCL,I588,903614262000
GTS,D2U,1620450215000
U5,EQ69GKK2K,1486844109000
9MD,L3SUJ,1154745534000
4LCY,YQXA8N,351439504000
JSP,JEU0GGB6G,441993826000
OIS,Z9SU,450718415000
7UQ0KZ,QYC3Y,14892929000
RV8V168,V,1358197637000
HM8DO0M,XFXKIC,490513206000
BNSG1,DKDBX,265814927000
GCKIE,R4HJG584MR,930273070000
XLPDTG,UT7O7RZ8W,1689178367000
V6D,THUWA,1085062581000
YBNJB,IMFLLP,722525854000
Q0ZY651XL1,DOYEVYY8JM,965767729000
7BEY9OSG,APNK8,154767466000
H5OS,44H,1719296075000
DQY2FEM,UAXVK8,1831089000
I7MY0D,GLZ,132990617000
5Q,DKI,1678601471000
XEFPGG,K67OCX0Q,144423536000
2ABHZLJGOP,V6H,1243947874000
Q3TCN,DT7Q522R,847336945000
0I491YF6H,ET2OE0TQLX,1120713343000
O30E149,JQZZ7S,291040738000
K,CTLRKCU8,564886511000
7U54HA,NHSC,1836083016000
JFOBKV6O,V31,1743802934000
TD0Q,UH7FCMY22,1610256306000
K0K,1JT37L,918588267000
Y1DY206R,1S9SDK6Z,497399631000
3UR,SK0,44664841000
DFE9,1,624115995000
CYPY80H9D,IDSVSIY7GP,1528635777000
4IVTGNW,4Y3FF,1203615195000
O820B0YZ6,3LGVMAR,193604573000
H,V,879634049000
JYNQ7JWR,9G4F4TKQM,1839018072000
N,24AKBQD,99893184000
6ZSOJMAX,SP,1624152080000
WR4,62OA,108438270000
NH3MUE,NVXWT,655690318000
B,Z6601M1UN,1483032573000
3,GGRGI,1847757613000
P,1PTC7FU8CR,507266313000
WXF1OYB6,BBLXC68,433830494000
MT7ZUZ0,IFNWUDUC,1196408108000
GEE9A6,MM6,1859489391000
JPBRK,VQ,1479978237000
7TO8DR9,MUQ8RB1,385667742000
PW8I,Z4QF,1669842157000
F84RG2,I,345131101000
4CGUD5H,KPV7P1,414538250000
HLY,LMG7Q,1676641427000
SK8EAV0FE,A5T,1679077513000
KZQNON,FI,1467094701000
3W7EJD4,NPP,47485376000
ZV6KXV,W7QFAM3T,801625731000
JP,B,1162518987000
WDN,14JHV,1491081963000
EJE5MSL2G,L0CP14,1138326517000
YH7,JSB0MBDNF,1890018179000
L12M49R,ZWYNSCS2,92214335000
N9PL6I1E3,H2HV,1734278754000
O5ZHG5744C,4TIOMO,1649538533000
HN30Z,AT1QG27F0B,324201844000
P2CCGHC5,5NNPH,1030292754000
BD,IHO4XF5S04,1643274086000
YO78,P0OZOB,1553623819000
9KP,1U9YCIABQ,669036735000
XAPU2RND,5PCWDUA,1140281416000
N9A3R,BYKTJY,1772827717000
Q,S9G6J,1034974290000
XH,XRE8YAQZ,1417553419000
ATMJ5GY4HZ,MCPZ,57664519000
VW3,AAW65B,835760659000
